 Simulation of solvent flow around colloids
   31000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.199E+03 0.135E+05
   32000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.867E+03 0.135E+05
   33000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.868E+02 0.133E+05
   34000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.164E+03 0.137E+05
   35000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.517E+03 0.135E+05
   36000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.755E+03 0.141E+05
   37000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.158E+04 0.133E+05
   38000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.248E+03 0.141E+05
   39000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.468E+03 0.133E+05
   40000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.408E+02 0.131E+05
   41000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.178E+03 0.133E+05
   42000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.809E+03 0.133E+05
   43000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.652E+03 0.137E+05
   44000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.310E+03 0.142E+05
   45000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.540E+03 0.137E+05
   46000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.161E+04 0.140E+05
   47000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.530E+03 0.141E+05
   48000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.264E+03 0.142E+05
   49000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.219E+04 0.144E+05
   50000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.120E+04 0.143E+05
   51000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.622E+02 0.140E+05
   52000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.584E+02 0.147E+05
   53000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.202E+03 0.143E+05
   54000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.104E+04 0.142E+05
   55000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.317E+03 0.138E+05
   56000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.137E+04 0.142E+05
   57000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.382E+03 0.140E+05
   58000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.252E+03 0.141E+05
   59000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.500E+03 0.139E+05
   60000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.119E+04 0.133E+05
   61000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.883E+03 0.143E+05
   62000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.241E+02 0.145E+05
   63000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.234E+03 0.137E+05
   64000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.864E+03 0.138E+05
   65000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.213E+01 0.137E+05
   66000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.492E+03 0.143E+05
   67000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.133E+04 0.143E+05
   68000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.999E+03 0.142E+05
   69000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.115E+04 0.139E+05
   70000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.504E+03 0.135E+05
   71000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.814E+03 0.135E+05
   72000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.140E+04 0.144E+05
   73000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.135E+04 0.149E+05
   74000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.780E+03 0.148E+05
   75000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.159E+03 0.149E+05
   76000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.317E+03 0.149E+05
   77000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.951E+02 0.156E+05
   78000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.854E+02 0.157E+05
   79000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.708E+03 0.162E+05
   80000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.229E+03 0.151E+05
   81000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.173E+03 0.147E+05
   82000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.271E+03 0.149E+05
   83000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.459E+03 0.144E+05
   84000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.712E+03 0.145E+05
   85000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.496E+03 0.147E+05
   86000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.201E+03 0.136E+05
   87000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.169E+03 0.138E+05
   88000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.751E+02 0.137E+05
   89000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.787E+03 0.140E+05
   90000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.832E+03 0.132E+05
   91000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.135E+04 0.128E+05
   92000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.111E+04 0.130E+05
   93000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.465E+03 0.133E+05
   94000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.300E+02 0.145E+05
   95000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.207E+03 0.144E+05
   96000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.143E+04 0.148E+05
   97000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.206E+03 0.143E+05
   98000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.765E+03 0.153E+05
   99000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.759E+03 0.143E+05
  100000 0.999E+00 0.450E+06 0.450E+06 0.000E+00 0.112E+04 0.143E+05
  101000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.264E+03 0.142E+05
  102000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.816E+03 0.139E+05
  103000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.502E+03 0.142E+05
  104000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.111E+04 0.145E+05
  105000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.359E+03 0.144E+05
  106000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.634E+03 0.140E+05
  107000 0.998E+00 0.449E+06 0.449E+06 0.000E+00 0.471E+03 0.136E+05
  108000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.225E+02 0.138E+05
  109000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.287E+03 0.146E+05
  110000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.111E+03 0.140E+05
  111000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.906E+03 0.137E+05
  112000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.337E+03 0.139E+05
  113000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.932E+03 0.149E+05
  114000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.142E+04 0.144E+05
  115000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.340E+03 0.150E+05
  116000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.732E+03 0.148E+05
  117000 0.999E+00 0.450E+06 0.450E+06 0.000E+00 -.634E+03 0.141E+05
  118000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.133E+04 0.143E+05
  119000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.456E+03 0.148E+05
  120000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.156E+03 0.153E+05
  121000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.532E+03 0.151E+05
  122000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.390E+03 0.147E+05
  123000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.303E+03 0.149E+05
  124000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.518E+03 0.146E+05
  125000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.478E+03 0.157E+05
  126000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.972E+02 0.151E+05
  127000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.516E+03 0.150E+05
  128000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.349E+03 0.149E+05
  129000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.223E+02 0.145E+05
  130000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.108E+03 0.144E+05
  131000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.926E+03 0.143E+05
  132000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.267E+03 0.143E+05
  133000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.230E+03 0.144E+05
  134000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.185E+03 0.144E+05
  135000 0.998E+00 0.449E+06 0.449E+06 0.000E+00 0.113E+04 0.135E+05
  136000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.729E+03 0.138E+05
  137000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.381E+03 0.135E+05
  138000 0.999E+00 0.450E+06 0.450E+06 0.000E+00 -.574E+03 0.138E+05
  139000 0.998E+00 0.449E+06 0.449E+06 0.000E+00 -.250E+03 0.136E+05
  140000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.324E+03 0.131E+05
  141000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.331E+03 0.134E+05
  142000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.536E+03 0.130E+05
  143000 0.100E+01 0.451E+06 0.451E+06 0.000E+00 -.116E+03 0.138E+05
  144000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.401E+03 0.141E+05
  145000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.109E+04 0.138E+05
  146000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.526E+02 0.131E+05
  147000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.940E+03 0.136E+05
  148000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.103E+04 0.142E+05
  149000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.422E+02 0.144E+05
  150000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.143E+03 0.133E+05
  151000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.177E+03 0.137E+05
  152000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.123E+04 0.140E+05
  153000 0.998E+00 0.449E+06 0.449E+06 0.000E+00 -.147E+04 0.142E+05
  154000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.159E+04 0.143E+05
  155000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.690E+03 0.141E+05
  156000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.191E+04 0.135E+05
  157000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.803E+03 0.140E+05
  158000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.289E+03 0.138E+05
  159000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.112E+04 0.144E+05
  160000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.241E+03 0.142E+05
  161000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.455E+03 0.144E+05
  162000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.120E+04 0.137E+05
  163000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.426E+03 0.141E+05
  164000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.159E+04 0.138E+05
  165000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.106E+04 0.140E+05
  166000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.201E+03 0.137E+05
  167000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.157E+03 0.136E+05
  168000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.500E+03 0.136E+05
  169000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.394E+03 0.146E+05
  170000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.777E+03 0.142E+05
  171000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.193E+04 0.145E+05
  172000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.755E+02 0.139E+05
  173000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.572E+03 0.134E+05
  174000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.485E+03 0.147E+05
  175000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.660E+03 0.150E+05
  176000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.558E+03 0.147E+05
  177000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.113E+04 0.146E+05
  178000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.133E+03 0.145E+05
  179000 0.998E+00 0.449E+06 0.449E+06 0.000E+00 0.709E+03 0.143E+05
  180000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.577E+02 0.139E+05
  181000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.495E+03 0.137E+05
  182000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.366E+03 0.144E+05
  183000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.572E+03 0.133E+05
  184000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.419E+03 0.130E+05
  185000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.571E+03 0.132E+05
  186000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.199E+03 0.127E+05
  187000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.567E+03 0.123E+05
  188000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.135E+04 0.129E+05
  189000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.215E+03 0.129E+05
  190000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.165E+04 0.132E+05
  191000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.108E+04 0.132E+05
  192000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.121E+04 0.124E+05
  193000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.249E+03 0.134E+05
  194000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.264E+03 0.130E+05
  195000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.692E+03 0.137E+05
  196000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.691E+03 0.126E+05
  197000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.162E+04 0.129E+05
  198000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.498E+03 0.136E+05
  199000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.127E+04 0.141E+05
  200000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.387E+03 0.137E+05
  201000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.635E+03 0.140E+05
  202000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.743E+03 0.141E+05
  203000 0.999E+00 0.450E+06 0.450E+06 0.000E+00 0.230E+03 0.140E+05
  204000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.118E+04 0.143E+05
  205000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.112E+04 0.144E+05
  206000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.562E+03 0.136E+05
  207000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.105E+04 0.144E+05
  208000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.113E+03 0.143E+05
  209000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.525E+02 0.142E+05
  210000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.151E+04 0.144E+05
  211000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.972E+03 0.142E+05
  212000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.107E+04 0.146E+05
  213000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.373E+03 0.144E+05
  214000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.384E+03 0.143E+05
  215000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.106E+03 0.145E+05
  216000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.179E+03 0.140E+05
  217000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.104E+04 0.138E+05
  218000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.678E+03 0.143E+05
  219000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.750E+03 0.148E+05
  220000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.816E+03 0.139E+05
  221000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.113E+04 0.141E+05
  222000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.121E+04 0.146E+05
  223000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.101E+04 0.151E+05
  224000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.783E+03 0.144E+05
  225000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.928E+03 0.134E+05
  226000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.366E+03 0.139E+05
  227000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.175E+03 0.132E+05
  228000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.387E+03 0.139E+05
  229000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.783E+03 0.138E+05
  230000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.138E+02 0.138E+05
  231000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.701E+03 0.131E+05
  232000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.134E+04 0.136E+05
  233000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.333E+03 0.135E+05
  234000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.325E+03 0.143E+05
  235000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.450E+02 0.136E+05
  236000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.979E+03 0.140E+05
  237000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.830E+02 0.140E+05
  238000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.438E+03 0.133E+05
  239000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.107E+03 0.146E+05
  240000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.123E+04 0.145E+05
  241000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.518E+03 0.151E+05
  242000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.503E+02 0.147E+05
  243000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.470E+03 0.144E+05
  244000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.506E+03 0.142E+05
  245000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.893E+03 0.139E+05
  246000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.283E+03 0.137E+05
  247000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.897E+02 0.140E+05
  248000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.310E+03 0.134E+05
  249000 0.999E+00 0.450E+06 0.450E+06 0.000E+00 0.171E+04 0.144E+05
  250000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.135E+04 0.144E+05
  251000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.413E+02 0.135E+05
  252000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.180E+03 0.138E+05
  253000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.525E+03 0.139E+05
  254000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.352E+03 0.143E+05
  255000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.464E+03 0.149E+05
  256000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.578E+03 0.138E+05
  257000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.839E+03 0.147E+05
  258000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.917E+03 0.139E+05
  259000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.873E+03 0.139E+05
  260000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.141E+04 0.136E+05
  261000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.133E+04 0.136E+05
  262000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.182E+04 0.129E+05
  263000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.789E+03 0.138E+05
  264000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.973E+03 0.137E+05
  265000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.812E+03 0.137E+05
  266000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.258E+03 0.143E+05
  267000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.772E+03 0.145E+05
  268000 0.999E+00 0.450E+06 0.450E+06 0.000E+00 -.463E+03 0.147E+05
  269000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.220E+03 0.143E+05
  270000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.268E+03 0.143E+05
  271000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.184E+03 0.137E+05
  272000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.399E+03 0.137E+05
  273000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.136E+03 0.142E+05
  274000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.157E+04 0.148E+05
  275000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.139E+04 0.140E+05
  276000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.304E+03 0.140E+05
  277000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.935E+03 0.141E+05
  278000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.670E+03 0.136E+05
  279000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.975E+03 0.138E+05
  280000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.255E+03 0.138E+05
  281000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.311E+03 0.143E+05
  282000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.492E+03 0.149E+05
  283000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.693E+03 0.138E+05
  284000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.326E+03 0.137E+05
  285000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.431E+03 0.134E+05
  286000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.892E+02 0.134E+05
  287000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.198E+03 0.136E+05
  288000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.514E+03 0.138E+05
  289000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.281E+03 0.136E+05
  290000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.635E+03 0.135E+05
  291000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.411E+02 0.134E+05
  292000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.181E+03 0.145E+05
  293000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.117E+04 0.136E+05
  294000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.659E+03 0.142E+05
  295000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.101E+04 0.141E+05
  296000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.807E+03 0.136E+05
  297000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.805E+03 0.144E+05
  298000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.647E+03 0.144E+05
  299000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.140E+03 0.142E+05
  300000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.999E+03 0.138E+05
  301000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.125E+04 0.139E+05
  302000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.896E+03 0.139E+05
  303000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.766E+03 0.137E+05
