 Simulation of solvent flow around colloids
    Step      Temp      Etot      Ekin      Epot       P-x       P-y
  114000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.869E+02 0.145E+05
  115000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.240E+03 0.146E+05
  116000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 0.175E+03 0.142E+05
  117000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.166E+03 0.147E+05
  118000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.133E+03 0.145E+05
  119000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.458E+03 0.145E+05
  120000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.301E+03 0.141E+05
  121000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.692E+02 0.142E+05
  122000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.146E+03 0.139E+05
  123000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.133E+03 0.140E+05
  124000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 -.662E+02 0.138E+05
  125000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.103E+03 0.136E+05
  126000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 0.242E+03 0.135E+05
  127000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.272E+03 0.134E+05
  128000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.755E+02 0.137E+05
  129000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.129E+03 0.140E+05
  130000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.103E+03 0.136E+05
  131000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.313E+03 0.140E+05
  132000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 0.255E+02 0.139E+05
  133000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.306E+03 0.140E+05
  134000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.258E+03 0.142E+05
  135000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.192E+03 0.144E+05
  136000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.647E+02 0.142E+05
  137000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 0.451E+03 0.138E+05
  138000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.620E+03 0.137E+05
  139000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.847E+03 0.139E+05
  140000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.276E+03 0.137E+05
  141000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.276E+03 0.140E+05
  142000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.360E+03 0.140E+05
  143000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 -.550E+02 0.141E+05
  144000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.762E+02 0.141E+05
  145000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.147E+03 0.139E+05
  146000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.589E+03 0.136E+05
  147000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.772E+03 0.142E+05
  148000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.653E+03 0.139E+05
  149000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.528E+03 0.137E+05
  150000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 -.610E+03 0.138E+05
  151000 0.997E+00 0.112E+06 0.112E+06 0.000E+00 0.508E+03 0.138E+05
  152000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.121E+03 0.140E+05
  153000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.228E+03 0.138E+05
  154000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.265E+03 0.142E+05
  155000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.449E+03 0.145E+05
  156000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.545E+03 0.144E+05
  157000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.302E+03 0.140E+05
  158000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.199E+03 0.139E+05
  159000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.742E+02 0.139E+05
  160000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.204E+03 0.138E+05
  161000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.712E+03 0.137E+05
  162000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.434E+03 0.137E+05
  163000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.297E+03 0.142E+05
  164000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.372E+03 0.144E+05
  165000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.257E+03 0.142E+05
